Transaction_ID,Transaction_Amount,Transaction_Frequency,New_Device,Device_Risk,Location_Change,New_Recipient,Fraud
1001,250,2,0,1,0,0,0
1002,450,3,0,1,0,0,0
1003,1200,8,1,2,1,1,0
1004,5000,15,1,3,2,1,1
1005,320,2,0,1,0,0,0
1006,8500,20,1,3,3,1,1
1007,150,1,0,1,0,0,0
1008,760,4,0,1,0,0,0
1009,2300,10,1,2,1,1,0
1010,15000,25,1,3,3,1,1
1011,600,3,0,1,0,0,0
1012,950,5,0,1,1,0,0
1013,4200,12,1,2,2,1,1
1014,275,2,0,1,0,0,0
1015,6800,18,1,3,2,1,1
1016,390,2,0,1,0,0,0
1017,1100,6,0,2,1,0,0
1018,9200,22,1,3,3,1,1
1019,480,3,0,1,0,0,0
1020,2100,9,1,2,1,1,0
1021,720,4,0,1,0,0,0
1022,13500,24,1,3,3,1,1
1023,560,3,0,1,0,0,0
1024,1750,7,1,2,1,0,0
1025,340,2,0,1,0,0,0
1026,6100,16,1,3,2,1,1
1027,890,5,0,1,1,0,0
1028,240,2,0,1,0,0,0
1029,4800,13,1,2,2,1,1
1030,650,4,0,1,0,0,0
1031,10200,21,1,3,3,1,1
1032,430,2,0,1,0,0,0
1033,1250,6,0,2,1,0,0
1034,3700,11,1,2,2,1,1
1035,280,2,0,1,0,0,0
1036,5600,15,1,3,2,1,1
1037,800,4,0,1,1,0,0
1038,1900,8,1,2,1,1,0
1039,360,2,0,1,0,0,0
1040,7800,19,1,3,3,1,1
1041,520,3,0,1,0,0,0
1042,1450,7,1,2,1,0,0
1043,310,2,0,1,0,0,0
1044,4300,12,1,2,2,1,1
1045,670,4,0,1,0,0,0
1046,11500,23,1,3,3,1,1
1047,900,5,0,1,1,0,0
1048,2700,10,1,2,1,1,0
1049,390,2,0,1,0,0,0
1050,9500,20,1,3,3,1,1
